# ----------------------------------------
# Acquisition overview
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
#  
# Start date: 20240101
# End date: 20241231
/products/brando-parisian-luxe-jade,37
/products/brando-velvet-noir-1?variant=44560650404090&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,37
/en-au/products/bond-polo-crepe-jade,36
/en-au/products/free-unlimited-return-valid-in-us,36
/en-fr/products/hugh-khaki,36
/en-jp/products/cruise-navy,36
/en-mc/products/free-unlimited-return-valid-in-us?variant=46549555577082,36
/en-mc/products/mfvla1-leather-noir,36
/es-mx/products/blake-suede-noir,36
/fr-fr/products/brando-linen-noir,36
/he-il/account/login,36
/he-il/products/dann-long-slv-noir,36
/ja-jp/collections/cargo-pant,36
/ja-jp/products/deniro-aroura,36
/products/brando-medium-indigo-1?variant=46631817380090&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,36
/en-ae/products/cruise-distressed-vigo,35
/en-es/products/dean-stingray,35
/en-jp/products/deniro-triomphe,35
/en-se/products/deniro-empire,35
/en-sg/collections/sale-1?page=2,35
/en-tw/products/greyson-noir,35
/es-mx/products/brando-linen-jade,35
/es-mx/products/cruise-navy,35
/es-mx/products/dean-distressed-vintage-blanc,35
/fr-fr/pages/sizing-chart,35
/fr-fr/products/bond-short-blanc,35
/fr-fr/products/brando-parisian-luxe-noir,35
/fr-fr/products/brando-velvet-moon-rock,35
/he-il/products/brando-tinted-indigo,35
/he-il/products/dann-luxe-almond,35
/en-au/products/deniro-ink,34
/en-in/products/clint-stingray,34
/en-mx/products/deniro-noir,34
/en-mx/products/mfvla1-bleached-indigo,34
/en-se/products/clint-houston,34
/en-se/products/deniro-aroura,34
/es-es/collections/skinny,34
/ja-jp/products/clint-light-indigo,34
/pages/wholesale,34
/products/bond-shirt-leather-noir?currency=USD&variant=46032560849146&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=49228e570b46,34
/products/brando-linen-noir?currency=USD&variant=46032544727290&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=49228e570b46,34
/products/clint-aged-coated-steel,34
/products/jayden-sarcelle,34
/en-at/products/deniro-ink,33
/en-be/products/clint-stingray,33
/en-dk/products/cruise-linen-sage,33
/en-hr/products/brando-velvet-moon-rock,33
/en-it/products/west-velvet-noir,33
/en-nl/products/clint-noir-leather,33
/en-no/products/dann-shirt-noir,33
