"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Collection","/collections/stretch-denim-1",58,66,2,0
"Product","/products/greyson-desert-indigo",61,66,0,0
"Product","/products/jayden-sarcelle",64,65,2,1
"Product","/products/brando-velvet-teak",64,64,0,0
"Product","/products/eastwood-tartan",61,61,0,0
"Product","/products/brando-mineral-green",59,59,0,0
"Product","/products/brando-twilight-needle-cord",59,59,0,0
"Product","/products/brando-noir-needle-cord",59,59,0,0
"Product","/products/greyson-oakland",58,58,0,1
"Product","/products/deniro-teak",56,56,1,1
"Custom Page","/pages/privacy-policy",54,54,0,0
,"/en-gb",51,53,2,2
"Product","/products/brando-cairo",53,53,0,0
"Product","/products/cruise-arctic",52,52,0,0
"Product","/products/grant-velvet-black",50,52,0,0
,"/checkout",50,50,0,4
"Product","/products/brando-carbon",49,49,0,0
"Product","/products/dann-sage-stripe",48,49,1,2
,"/en-de",36,49,4,3
"Product","/products/greyson-amalfi",49,49,0,0
"Product","/products/deniro-triomphe",46,46,0,0
"Product","/products/hugh-sky",43,45,1,0
"Search","/search",45,45,0,0
"Product","/products/greyson-haze",43,43,0,0
"Product","/products/brando-dark-stone",34,42,0,0
"Product","/products/brando-parisian-luxe-faded-blue",42,42,0,0
"Product","/products/pierce-ls-light-grey",41,42,0,1
,"/en-cn/cart",41,41,0,0
,"/en-de/products/brando-vail",41,41,0,0
,"/en-sg",39,40,1,1
"Collection","/collections/cargo-pant",40,40,0,0
"Collection","/collections/eoysale",13,39,0,0
"Product","/products/dean-coated-asphalt",39,39,0,0
"Product","/products/clint-vintage-blanc",38,38,0,0
"Collection","/collections/eos40",37,37,0,4
"Product","/products/bond-short-blanc",37,37,0,0
"Product","/products/tactical-jade",37,37,0,0
"Product","/products/greyson-noir-tigre",37,37,0,0
"Custom Page","/pages/stockists",31,37,0,0
"Product","/products/greyson-laguna",35,37,2,0
"Product","/products/clint-silver-haze",36,36,0,0
,"/_web_preview/products/brando-coral",36,36,0,0
"Product","/products/pierce-noir-1",35,36,0,0
"Custom Page","/pages/contact",36,36,0,0
"Checkout","/orders/df8812b4302c7d0efd5e5162730a53a2",1,35,0,0
,"/policies/shipping-policy",35,35,0,0
"Collection","/collections/all",35,35,1,0
,"/_/service_worker/6240/sw_iframe.html",34,34,0,0
"Product","/products/bond-short-navy",34,34,0,0
"Product","/products/brando-parisian-luxe-verdant",34,34,0,0
"Product","/products/brando-toulouse-1",34,34,2,1
"Product","/products/jayden-blanc",34,34,0,0
"Product","/products/clint-ombre-sand",33,33,0,0
,"/en-cn/products/caine-acid-carbon",32,32,0,0
"Product","/products/brando-aged-indigo",32,32,0,0
"Checkout","/orders",28,31,0,3
"Product","/products/greyson-dk-vintage",31,31,0,0
"Product","/products/greyson-vintage-blanc",31,31,0,0
"Product","/products/bond-shirt-leather-noir",30,30,0,0
"Collection","/collections/velvet",28,30,0,1
"Product","/products/preston-noir-flare",30,30,0,0
,"/en-nl",26,30,2,1
"Product","/products/eastwood-noir-suede",30,30,0,0
"Product","/products/clint-blanc-leather",30,30,0,0
,"/en-cn/pages/about-us",29,29,0,0
"Product","/products/deniro-linen-beige",29,29,2,1
"Product","/products/pierce-noir",29,29,0,0
"Product","/products/greyson-blanc",29,29,0,0
"Product","/products/dean-noir-tigre",29,29,0,0
"Product","/products/clint-matteo",29,29,0,2
"Custom Page","/pages/wholesale",29,29,0,1
"Collection","/collections/comfort-twill",20,29,0,0
"Product","/products/maverick-carbon",28,28,0,0
"Product","/products/cruise-almond",28,28,0,0
"Product","/products/dann-relaxed-t-velvet-noir",28,28,0,0
"Product","/products/dean-velvet-teak",28,28,0,0
"Product","/products/dean-noir",28,28,0,0
"Collection","/collections/bootcut",27,27,0,0
"Collection","/collections/sale-bottoms",26,27,0,0
"Product","/products/brando-toulouse",27,27,0,0
,"/en-cn/products/cooper-suede-noir",27,27,0,0
,"/en-cn/pages/shipping-returns",27,27,0,0
"Custom Page","/pages/lgpd-privacy-policy",27,27,0,0
"Product","/products/dean-distressed-vintage-blanc",26,26,0,0
"Collection","/collections/coated-1",26,26,0,0
,"/en-cn/products/travis-light-grey",26,26,0,0
"Product","/products/greyson-velvet-asphalt",26,26,0,0
"Product","/products/deniro-marfa",26,26,0,0
"Product","/products/bond-polo-blanc",25,25,0,0
"Product","/products/deniro-empire",25,25,0,0
"Product","/products/clint-stingray",25,25,0,0
,"/en-cn/products/brando-velvet-carbon",25,25,0,0
"Product","/products/bond-polo-navy",24,24,0,0
,"/policies/refund-policy",24,24,0,0
"Product","/products/tactical-mocha",24,24,0,0
"Product","/products/bond-shirt-mesh-noir",24,24,0,0
"Product","/products/dann-long-sleeve-ribbed-verdant",24,24,0,0
"Product","/products/brando-parisian-luxe-champagne",24,24,0,0
"Product","/products/bond-shirt-silk-outlaw",24,24,0,0
"Product","/products/dann-turtle-neck-noir",24,24,0,0
,"/en-cn/products/caine-valois",23,23,0,0
"Product","/products/brando-santa-monica",23,23,0,0
,"/_web_preview",23,23,0,0
"Product","/products/dann-asphalt",23,23,0,0
"Product","/products/cruise-linen-sage",23,23,0,0
"Product","/products/cruise-linen-beige",23,23,0,0
,"/es-es",21,23,0,0
"Product","/products/dean-blanc-leather",23,23,0,0
"Product","/products/clint-houston",23,23,0,0
"Product","/products/greyson-velvet-teak",23,23,0,0
"Product","/products/dann-long-ribbed-vin-blanc",23,23,0,1
"Product","/products/pierce-blanc",22,22,0,0
"Product","/products/brando-french-terry-rodeo",20,22,0,0
"Custom Page","/pages/vip-placements-2",21,22,0,0
"Product","/products/brando-vintage-blanc",22,22,0,4
"Product","/products/dean-sarcelle",22,22,0,0
"Product","/products/brando-nimes",21,21,0,0
"Product","/products/dann-navy-stripe",21,21,0,0
"Product","/products/brando-capri",20,21,0,0
"Product","/products/brando-linen-sage",21,21,0,0
,"/en-cn/pages/privacy-policy",21,21,0,0
"Custom Page","/pages/stockist",21,21,0,0
"Product","/products/maverick-rodeo-drive",21,21,0,0
"Custom Page","/pages/meetmonfrere",21,21,1,1
"Product","/products/greyson-sorento",20,21,0,3
,"/en-ae",20,20,0,1
"Product","/products/pierce-olive",20,20,0,0
"Collection","/collections/deniro",20,20,0,0
"Product","/products/dann-luxe-almond",20,20,0,0
"Product","/products/dann-long-noir",20,20,0,0
"Collection","/collections/sateen",19,19,0,0
"Product","/products/bond-short-leather-noir",19,19,0,0
"Product","/products/bond-polo-crepe-noir",19,19,0,0
"Product","/products/clint-coated-noir",19,19,0,0
"Product","/products/deniro-aroura",19,19,0,0
,"/_/service_worker/61k0/sw_iframe.html",19,19,0,1
,"/en-ca/collections/eosale",18,19,1,1
"Custom Page","/pages/collab",17,18,0,0
"Custom Page","/pages/faq",18,18,0,0
"Product","/products/preston-blanc",18,18,0,0
"Product","/products/long-sleeve-tee-ribbed-noir",18,18,0,0
"Collection","/collections/brushed-denim",18,18,0,0
"Product","/products/west-coated-merlot",18,18,0,0
"Product","/products/dann-relaxed-t-blanc",17,17,0,0
,"/en-cn/pages/stockists",17,17,0,0
"Product","/products/brando-velvet-moon-rock",17,17,0,0
"Product","/products/blake-pailette-noir",17,17,0,0
"Product","/products/brando-rodeo-drive",17,17,0,0
"Product","/products/brando-linen-noir",17,17,0,0
"Product","/products/dann-long-crepe-taupe",16,16,0,0
"Product","/products/brando-velvet-asphalt",16,16,0,0
"Product","/products/jayden-acid-noir",16,16,0,0
,"/en-cn/products/caine-vintage-plum",16,16,0,0
,"/en-cn/products/maverick-suede-cool-grey",16,16,0,0
"Collection","/collections/dann",16,16,0,0
"Product","/products/bond-short-fuchsia",15,15,0,0
"Collection","/collections/new-arrivals",15,15,0,0
"Product","/products/greyson-destroyed-blanc",15,15,0,0
"Cart","/cart",11,15,1,2
,"/apps/collective/retailer-referral",15,15,0,0
"Custom Page","/pages/editorials",15,15,0,0
,"/_/service_worker/6150/sw_iframe.html",15,15,0,0
"Product","/products/deniro-linen-sky",15,15,0,0
"Product","/products/dean-mf-daily",15,15,0,0
"Product","/products/justin-sandstorm",15,15,0,0
"Product","/products/brando-parisian-luxe-vert",15,15,0,0
"Collection","/collections/summer-sale",15,15,0,0
"Product","/products/travis-noir",15,15,0,0
,"/en-cn/collections/new-arrivals-bottoms",15,15,0,0
,"/en-it",14,15,1,2
"Product","/products/caine-matteo",15,15,0,0
"Product","/products/jayden-distressed-sunset",15,15,0,0
"Product","/products/clint-ombre-skyfall",14,14,0,0
,"/en-cn/products/eastwood-suede-steel-blue",14,14,0,0
"Product","/products/greyson-distressed-noir",13,14,0,0
,"/en-cn/pages/editorials",14,14,0,0
,"/en-cn/products/caine-noir",14,14,0,0
"Product","/products/Z3JleXNvbi",14,14,0,0
,"/en-cn/products/brando-velvet-saddle",14,14,0,0
"Collection","/collections/knits",14,14,0,0
,"/en-cn/products/caine-lincoln",14,14,0,0
"Product","/products/YnJhbmRvLX",14,14,0,0
"Product","/products/dann-long-slv-noir",14,14,0,0
"Product","/products/greyson-beverly-hills",14,14,0,0
,"/en-cn/products/cooper-coated-noir",14,14,0,0
"Product","/products/eastwood-noir",14,14,0,0
,"/en-cn/collections/denim",14,14,0,0
,"/en-fr",13,13,0,0
"Collection","/collections/dean-denim-jacket",11,13,0,0
,"/en-sa",12,13,1,1
,"/en-kr",13,13,1,1
,"/en-cn/collections/coated-1",13,13,0,0
,"/en-cn/products/brando-parisian-luxe-navy",13,13,0,0
"Custom Page","/pages/appi-privacy-policy",13,13,0,0
"Product","/products/clint-light-indigo",13,13,0,0
"Product","/products/greyson-coated-malachite",13,13,0,0
,"/en-au/products/preston-noir",13,13,0,0
"Product","/products/clint-aged-coated-steel",13,13,0,0
,"/en-cn/products/maverick-silk-steel-blue",13,13,0,0
"Product","/products/dann-long-ribbed-blanc",13,13,0,0
"Custom Page","/pages/faqs",13,13,0,1
,"/en-cn/pages/wholesale",13,13,0,0
"Product","/products/mfvla1-leather-noir",13,13,0,0
"Product","/products/eastwood-moon-rock",12,12,0,0
"Product","/products/brando-french-terry-matter",12,12,0,0
"Custom Page","/pages/return-policy",12,12,0,0
,"/en-cn/products/caine-mf-leopard-flock",12,12,0,0
,"/en-cn/products/eastwood-suede-vintage-blanc",12,12,0,0
"Product","/products/brando-velvet-espresso",12,12,0,0
,"/en-cn/products/dann-shirt-noir",12,12,0,0
,"/ja-jp",12,12,0,0
,"/en-mx/collections/eligible-2",11,12,0,0
,"/en-au/products/greyson-antique-silver",12,12,0,0
"Custom Page","/pages/try-first-pay-later",12,12,0,0
,"/en-cn/collections/fall-winter",12,12,0,0
"Product","/products/super-flare-amalfi",12,12,0,0
"Product","/products/bond-shirt-le-club",12,12,0,1
"Collection","/collections/leather",12,12,0,0
"Product","/products/grant-noir",12,12,0,0
"Product","/products/jayden-rennes",12,12,0,0
,"/_/service_worker/63b0/sw_iframe.html",12,12,0,0
,"/en-cn/collections/bottoms",12,12,0,0
"Product","/products/cruise-getafe",12,12,0,0
,"/en-au/products/deniro-linen-mint",12,12,0,0
"Product","/products/mfvla1-striped-indigo",12,12,0,0
"Collection","/collections/rigid-denim",12,12,1,0
,"/en-cn/products/maverick-suede-taupe",12,12,0,0
"Product","/products/eastwood-verdant",12,12,0,0
"Product","/products/dean-jacket-velvet-noir-1",12,12,0,0
,"/en-cn/products/greyson-toulouse",12,12,0,0
,"/en-ca/products/dann-long-slv-vintage-blanc",1,12,0,0
,"/en-in/products/dann-sage-stripe",11,12,3,1
,"/en-ch",12,12,0,0
,"/en-cn/products/brando-vintage-blanc-1",12,12,0,0
"Product","/products/brando-parisian-luxe-espresso",12,12,0,0
"Collection","/collections/deniro-slim-straight-fit",12,12,0,0
,"/en-cn/products/greyson-vintage-velvet-carbon",12,12,0,0
,"/en-cn/products/eastwood-steel",11,11,0,0
"Product","/products/greyson-silver-haze",11,11,0,0
,"/en-cn/collections/spring-summer",11,11,0,0
,"/es-mx/products/brando-tinted-indigo",2,11,1,1
"Product","/products/brando-velvet-toffee",11,11,0,0
"Product","/products/greyson-suede-moss",11,11,0,0
,"/en-cn/products/brando-short-light-grey",11,11,0,0
"Product","/products/brando-linen-aberdeen",11,11,0,0
,"/en-au/collections/bottoms",11,11,0,0
,"/checkout/21851111488/cn/hWNALQfTbdbQBihl4nZh94mA/en-us/shoppay",1,11,1,11
,"/en-cn/pages/govx-id-military-discount",11,11,0,0
"Product","/products/greyson-dark-vintage",11,11,0,0
,"/en-ca/products/dean-jacket-sandstorm",11,11,0,0
"Product","/products/preston-noir",11,11,0,0
"Collection","/collections/viscose",11,11,0,0
,"/en-cn/products/brando-ink",11,11,0,0
,"/en-nz",11,11,0,0
"Product","/products/dean-velvet-asphalt",11,11,0,0
,"/en-cn/pages",11,11,0,0
,"/en-cn/products/brando-blanc",11,11,0,0
,"/en-cn/products/brando-jade",11,11,0,0
"Product","/products/west-velvet-noir",11,11,0,0
,"/en-cn/products/caine-espresso",11,11,0,0
,"/en-cn/products/brando-velvet-noir-1",10,10,0,0
"Product","/products/brando-french-terry-wrangler",8,10,2,0
"Custom Page","/pages/subscribe",9,10,0,0
