# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
First user primary channel group (Default Channel Group),Week,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Organic Social,10,780,590,59,15.885976408912189,0.598951507208388,7821,3,0.003931847968545216
Direct,19,755,243,234,87.37907608695652,1.4904891304347827,27657,22,0.02717391304347826
Email,21,744,267,259,41.68506056527591,1.2934051144010767,15073,14,0.018842530282637954
Organic Search,14,741,334,211,75.94021739130434,1.375,24256,13,0.017663043478260868
Direct,02,734,615,160,69.04647887323944,0.8802816901408451,13702,12,0.016901408450704224
Email,03,728,596,221,106.23578363384189,1.0485436893203883,16933,30,0.036061026352288486
Cross-network,24,725,452,77,20.790568654646325,1.0915395284327323,8332,4,0.005547850208044383
Direct,14,725,248,212,62.295833333333334,1.325,17380,28,0.03888888888888889
Direct,15,720,265,177,125.57643758765778,1.3464235624123422,23805,44,0.05329593267882188
Direct,35,710,500,200,56.48502139800285,1.2211126961483594,17439,38,0.039942938659058486
Email,28,699,480,121,42.550143266475644,0.9469914040114613,9531,6,0.008595988538681949
Paid Social,01,694,584,90,20.754276827371694,0.7853810264385692,5795,1,0.0015552099533437014
Paid Social,05,686,557,117,32.17057902973396,0.7245696400625978,7349,6,0.009389671361502348
Email,48,684,438,305,122.61617647058823,1.4897058823529412,33268,18,0.026470588235294117
Direct,21,677,252,161,57.86943620178042,1.2002967359050445,14916,8,0.010385756676557863
Direct,08,673,571,160,67.8793893129771,0.9389312977099237,12783,10,0.015267175572519083
Organic Social,27,666,326,156,18.715384615384615,1.02,8290,2,0.003076923076923077
Direct,30,659,538,134,65.78254211332312,1.1378254211332313,12450,28,0.04134762633996937
Organic Search,13,657,302,163,82.05504587155963,1.261467889908257,19518,13,0.016819571865443424
Cross-network,17,655,338,179,50.33796296296296,1.2006172839506173,12461,7,0.010802469135802469
Email,19,655,191,310,79.09341500765697,1.4318529862174578,23947,23,0.03522205206738132
Organic Social,12,653,461,19,7.475968992248062,0.8031007751937984,5231,0,0
Cross-network,33,648,600,80,50.23720930232558,1.1317829457364341,10827,21,0.031007751937984496
