"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"Smart Search Tech","105033","Search","Direct Linking","","0","0","0","0","349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BeFrugal.com","114972","Content","Cashback","","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LTK","136348","Content","Bloggers & Social Content","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"YIELDKIT GmbH - Content sites","143466","Display","Subnetworks","","0","0","0","0","26706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"digidip UK and USA - Content","154750","Display","Subnetworks","","0","0","0","0","227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eDealinfo USA Inc.","156714","Content","Discount Code","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Redbrain Ltd","176013","Search","","","0","0","0","0","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DiscountReactor","181993","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"HIP Consultant","190625","Content","Lead Generation (Content)","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"don nakatsuchi","193751","Display","Direct Traffic","","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
