Raw Product String,Parsed_Fabric,Parsed_Body,Parsed_Color,Parsed_Size
Dean Coated Asphalt - L,Coated,Dean,Asphalt,Unknown
Dean Coated Asphalt,Coated,Dean,Asphalt,Unknown
Dean Coated Asphalt - S,Coated,Dean,Asphalt,Unknown
Dean Coated Noir - XL,Coated,Dean,Noir,Unknown
Dean Coated Cafe - M,Coated,Dean,Cafe,Unknown
Dean Coated Asphalt - XL,Coated,Dean,Asphalt,Unknown
Dean Jacket Coated Noir - L,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Coated Noir - XS,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Coated Noir - XL,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Coated Noir - XXL,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Coated Noir,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Coated Noir - S,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Coated Noir - M,Coated,Dean Jacket,Noir,Unknown
Dean Jacket Vin Wax Coated - Vintage Waxed Coated / M,Coated,Dean Jacket Vin Wax,Vintage Waxed Coated,M
Dean Jacket Vin Wax Coated - Vintage Waxed Coated / L,Coated,Dean Jacket Vin Wax,Vintage Waxed Coated,L
Dean Jacket Vin Wax Coated - Vintage Waxed Coated / XS,Coated,Dean Jacket Vin Wax,Vintage Waxed Coated,XS
Dean Jacket Vin Wax Coated - Vintage Waxed Coated / XL,Coated,Dean Jacket Vin Wax,Vintage Waxed Coated,XL
Dean Jacket Vin Wax Coated - Vintage Waxed Coated / XXL,Coated,Dean Jacket Vin Wax,Vintage Waxed Coated,XXL
Dean Jacket Vin Wax Coated - Vintage Waxed Coated / S,Coated,Dean Jacket Vin Wax,Vintage Waxed Coated,S
Dean Jacket Vintage Wax Coated Espresso - L,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Dean Jacket Vintage Wax Coated Espresso - XS,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Dean Jacket Vintage Wax Coated Espresso - XL,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Dean Jacket Vintage Wax Coated Espresso - M,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Dean Jacket Vintage Wax Coated Espresso - XXL,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Dean Jacket Vintage Wax Coated Espresso,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Dean Jacket Vintage Wax Coated Espresso - S,Coated,Dean Jacket Vintage Wax,Espresso,Unknown
Greyson Coated London - 33,Coated,Greyson,London,Unknown
Greyson Coated Bourdeaux - 32,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated London - 36,Coated,Greyson,London,Unknown
Greyson Coated Malachite Python,Coated,Greyson,Malachite Python,Unknown
Greyson Coated Noir - Coated Noir / 30,Coated,Greyson,Noir,30
Greyson Coated Bourdeaux - 38,Coated,Greyson,Bourdeaux,Unknown
Greyson Coated Malachite Python - Malachite Python / 28,Coated,Greyson,Malachite Python,28
Greyson Coated Noir - Coated Noir / 36,Coated,Greyson,Noir,36
Greyson Coated Malachite - 34,Coated,Greyson,Malachite,Unknown
