# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Email,21,767,722,0.9413298565840938,45.44980443285528,12.434159061277706,9537,32,0.041720990873533245,5462
Direct,22,754,675,0.8952254641909815,38.80901856763926,11.801061007957559,8898,34,0.04509283819628647,7882.64
Email,10,753,722,0.9588313413014609,71.07171314741036,22.147410358565736,16677,41,0.05444887118193891,5797.41
Paid Social,42,752,385,0.511968085106383,16.11968085106383,9.039893617021276,6798,11,0.013297872340425532,1006.83
Referral,30,752,681,0.9055851063829787,4.6063829787234045,5.23404255319149,3936,0,0,0
Direct,36,735,237,0.3224489795918367,22.468027210884355,7.454421768707483,5479,24,0.0326530612244898,3889.38
Direct,15,705,615,0.8723404255319149,32.229787234042554,9.873758865248227,6961,13,0.018439716312056736,4283.18
Paid Social,47,703,364,0.5177809388335705,40.440967283072546,13.850640113798008,9737,18,0.012802275960170697,2233.16
Paid Social,49,669,595,0.8893871449925261,45.5186846038864,19.30642750373692,12916,2171,0.750373692077728,3929.76
Email,14,668,623,0.9326347305389222,83.32934131736526,21.107784431137723,14100,57,0.08532934131736528,7332.593864
Direct,14,664,591,0.8900602409638554,43.64156626506024,12.353915662650602,8203,28,0.04066265060240964,5564.51
Direct,19,649,585,0.901386748844376,44.389830508474574,11.989214175654853,7781,18,0.02773497688751926,5722.68
Unassigned,01,644,634,0.984472049689441,2.9922360248447206,4.5,2898,1,0.0015527950310559005,95.6
Email,18,635,587,0.9244094488188976,49.42992125984252,12.840944881889763,8154,50,0.07559055118110236,8295.33
Direct,16,631,569,0.901743264659271,38.23771790808241,10.619651347068146,6701,22,0.03486529318541997,5685.82
Email,48,627,427,0.6810207336523126,76.70175438596492,18.515151515151516,11609,41,0.03508771929824561,7583.33
Direct,25,626,576,0.9201277955271565,33.94408945686901,10,6260,39,0.06230031948881789,5036.22
Cross-network,04,624,610,0.9775641025641025,36.2275641025641,17.125,10686,6,0.009615384615384616,954.68
Paid Social,41,616,325,0.5275974025974026,16.68668831168831,8.1737012987013,5035,11,0.017857142857142856,1113.35
Organic Social,44,607,356,0.586490939044481,20.214168039538716,9.372322899505766,5689,10,0.016474464579901153,1428.01
Organic Social,40,602,366,0.6079734219269103,13.571428571428571,8.632890365448505,5197,1,0.0016611295681063123,115.33
