"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Meta leads","Purchase ROAS (return on ad spend)","Campaign name"
2023-02-05,2026-03-05,"Conv - Static - Dean Fuschia 2/23",archived,7,actions:offsite_conversion.fb_pixel_purchase,126.56857143,70,Daily,885.98,59051,35171,1.678968,15.003641,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,2.812863,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Eastwood Bone 2/23",archived,1,actions:offsite_conversion.fb_pixel_purchase,212.68,70,Daily,212.68,10360,7302,1.418789,20.528958,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,1.590653,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Video - Vintage Blanc 2/23",archived,,,,70,Daily,99.65,5695,4523,1.25912,17.497805,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"MF - DUP - BROAD",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Dean Fuschia 2/23",archived,1,actions:offsite_conversion.fb_pixel_purchase,785.52,80,Daily,785.52,36679,21279,1.723718,21.416069,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,0.354924,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Eastwood Bone 2/23",archived,,,,80,Daily,59.33,3180,1943,1.636644,18.657233,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Video - Vintage Blanc 2/23",archived,,,,80,Daily,38.39,2242,1946,1.152107,17.123104,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold -  Men's Fashion Magazine",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Dean Fuschia 2/23",archived,1,actions:offsite_conversion.fb_pixel_purchase,428.33,60,Daily,428.33,26236,14605,1.796371,16.326041,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - (Reel & Story) - edited",,2.517918,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Static - Eastwood Bone 2/23",archived,,,,60,Daily,143.74,8929,6153,1.451162,16.098107,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - (Reel & Story) - edited",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Video - Vintage Blanc 2/23",archived,,,,60,Daily,82.97,10123,7653,1.322749,8.196187,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - Cold - (Reel & Story) - edited",,,"C12 - Cold Prospecting (interest)"
2023-02-05,2026-03-05,"Conv - Collections - Video (White Spring) 2023",archived,,,,"Using campaign budget",0,94.12,1316,200,6.58,71.519757,,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"C12 - View or ATC - Spring 2023 - edited",,,"C12 - Dynamic Remarketing"
