"id","publisher_id","sale_amount","commission","date","commission_status","validation_date","extra","type","site_name","URL","decline_reason","referer","clickThroughTime","voucher_code","mins_between_click_trans","amended","amend_reason","old_sale_amount","old_commission","different_currency","ip","click_ref","click_device","transaction_device","publisher_url","transaction_parts","country_by_ip","custom_parameters","paid_to_publisher","invoice_id","transaction_query_id","commission_sharing_publisher_id","commission_sharing_publisher","partner_commission","commission_sharing_transaction_id","iphash","commission_sharing_selected_rate_publisher_id","products","campaign","tracked_parts","customer_acquisition","network_fee","service_partner_advertiser_cost"
"2093825704","632550","278.00","16.68","2026-04-15 08:29:00","2","2026-04-16 13:57:00","6884614111482","Sale","Refermate LLC","http://www.refermate.com","Invalid claim - Transaction occurred too long ago","https://monfrerefashion.com/","2026-04-15 08:26:00","","4","No",,,,,"0.0.0.0","0xcbxozwx4826207xd8186ed4ea30423b","Android Mobile","Android Mobile","https://refermate.com/","RETURNING:278.00","United States of America","1: shopifyApp_5.4.1,2: #15871,3: px,4: web","no",,,,,"0.00",,"-7906409871683953937",,"[{""product_id"":""8938624483578"",""product_name"":""Cooper Coated Noir"",""unit_price"":278.00,""quantity"":1,""sku_code"":""810C75001_COATED NOIR_XXL"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:278.00","returning","4.73","0.00"
"2103342325","156708","103.40","12.41","2026-04-28 11:07:00","0","","6911123390714","Sale","Ebates Performance Marketing, Inc. dba Rakuten Rewards","http://www.ebates.com",,"","2026-04-28 10:19:00","","49","No",,,,,"0.0.0.0","ebs6320173096sbe","Apple Mac","PC Unknown","","NEW:103.40","United States of America","1: shopifyApp_5.4.1,2: #15985,3: s2s,4: 3890849","no",,,,,"0.00",,"6904127789996274264",,"[{""product_id"":""8707406790906"",""product_name"":""Brando Cote D\u0027Ivoir"",""unit_price"":103.40,""quantity"":1,""sku_code"":""1008J15428_COTE DIVOIR_36"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:103.40","new","1.76","0.00"
"2108309691","685769","298.00","35.76","2026-05-04 21:01:00","0","","6924197036282","Sale","Linkbux","http://www.linkbux.com",,"","2026-05-04 01:16:00","","1185","No",,,,,"0.0.0.0","lb_6byuhz7","iPhone","PC Unknown","https://lunarwonders.com/","NEW:298.00","Ireland","1: shopifyApp_5.4.1,2: #16030,3: s2s,4: web","no",,,,,"0.00",,"5005622096606567817",,"[{""product_id"":""9142650536186"",""product_name"":""Eastwood Smokescreen"",""unit_price"":298.00,""quantity"":1,""sku_code"":""801D_SMOKESCREEN_L"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:298.00","new","5.07","0.00"
"2048250617","156708","158.40","19.01","2026-02-07 12:54:00","2","2026-03-02 17:01:00","6762706731258","Sale","Ebates Performance Marketing, Inc. dba Rakuten Rewards","http://www.ebates.com","Retailer issue - Not met terms & conditions: existing customer","https://checkout.monfrerefashion.com/","2026-02-07 12:44:00","","10","No",,,,,"0.0.0.0","ebs6243595844sbe","iPhone","iPhone","","RETURNING:158.40","United States of America","1: shopifyApp_5.2.5,2: #15355,3: px,4: 24986320897,7: sn","no",,,,,"0.00",,"-5977195396177274940",,"[{""product_id"":""7715309846778"",""product_name"":""Brando Parisian Luxe Khaki"",""unit_price"":158.40,""quantity"":1,""sku_code"":""1008J01261_KHAKI_33"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:158.40","returning","2.69","0.00"
"2045747933","1137879","191.40","22.97","2026-02-03 21:10:00","1","2026-02-24 15:02:00","6756008296698","Sale","LinkPrefer","https://www.linkprefer.com/",,"","2026-02-03 18:54:00","","136","No",,,,,"0.0.0.0","lp_mz5lh6hkj3ra-0-niquewallace","iPhone","PC Unknown","https://www.linkprefer.com/","NEW:191.40","Ireland","1: shopifyApp_5.2.5,2: #15325,3: s2s,4: 24986320897","yes","11122576",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""8938624155898"",""product_name"":""Tactical Needle Cord Noir"",""unit_price"":191.40,""quantity"":1,""sku_code"":""3618N75001_NOIR_30"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:191.40","new","3.25","0.00"
"2058682191","162254","109.12","13.09","2026-02-23 16:24:00","2","2026-03-04 20:39:00","6790693421306","Sale","DontPayFull.com","http://www.dontpayfull.com","Invalid claim - Transaction already tracked in your account","https://checkout.monfrerefashion.com/","2026-02-23 16:24:00","DPF20","n/a","No",,,,,"0.0.0.0","","PC Unknown","iPhone","","NEW:109.12","United States of America","1: shopifyApp_5.2.5,2: #15495,3: px,4: 24986320897","no",,,,,"0.00",,"-8584135719200749279",,"[{""product_id"":""8938623336698"",""product_name"":""Brando Needle Cord Plum"",""unit_price"":109.12,""quantity"":1,""sku_code"":""1008N95504_PLUM_36"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:109.12","new","1.86","0.00"
"2083935824","81392","91.98","5.52","2026-04-01 10:17:00","1","2026-04-29 19:15:00","6858713825530","Sale","RetailMeNot.com","http://www.retailmenot.com",,"","2026-04-01 10:09:00","","8","No",,,,,"0.0.0.0","05geidy7gsLk2eeYmotavMh","iPhone","PC Unknown","","RETURNING:91.98","United States of America","1: shopifyApp_5.4.0,2: #15759,3: s2s,4: web","no","11352359",,,,"0.00",,"8966869620079714825",,"[{""product_id"":""7715493871866"",""product_name"":""Dann Blanc"",""unit_price"":88.00,""quantity"":1,""sku_code"":""306T72100_BLANC_S"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""8594891473146"",""product_name"":""Package Protetion  Valid in US."",""unit_price"":3.98,""quantity"":1,""sku_code"":""x-redo"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:91.98","returning","1.56","0.00"
"2052064610","796279","730.80","87.70","2026-02-13 04:43:00","1","2026-03-09 12:37:00","6772759888122","Sale","SimplyCodes","https://simplycodes.com/",,"","2026-02-13 04:40:00","","3","No",,,,,"0.0.0.0","dio-qbMtmRc2yV","iPad","PC Unknown","https://simplycodes.com/","NEW:730.80","Ireland","1: shopifyApp_5.2.5,2: #15406,3: s2s,4: 24986320897","yes","11186614",,,,"0.00",,"5005622096606567817",,"[{""product_id"":""8174160806138"",""product_name"":""Maverick Butter Suede Taupe"",""unit_price"":243.60,""quantity"":1,""sku_code"":""912T24234_SUEDE TAUPE_M"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""9010346885370"",""product_name"":""Dean Acid Blue"",""unit_price"":278.60,""quantity"":1,""sku_code"":""909N105425_ACID BLUE_M"",""commission_group_code"":""DEFAULT"",""category"":""""},{""product_id"":""9010346918138"",""product_name"":""Dean Butter Suede Noir"",""unit_price"":208.60,""quantity"":1,""sku_code"":""909S105001_SUEDE NOIR_M"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:730.80","new","12.42","0.00"
"2084711128","81392","177.31","10.64","2026-04-02 11:49:00","1","2026-04-29 19:15:00","6860727812346","Sale","RetailMeNot.com","http://www.retailmenot.com",,"https://monfrerefashion.com/","2026-04-02 11:49:00","W15CJKNW3T5","1","No",,,,,"0.0.0.0","05HazbZ5eFWnxHv6E8rG24G","iPhone","iPhone","","RETURNING:177.31","United States of America","1: shopifyApp_5.4.0,2: #15767,3: px,4: web","no","11352359",,,,"0.00",,"4656388967269192390",,"[{""product_id"":""9010346655994"",""product_name"":""Eastwood Velvet Noir"",""unit_price"":177.31,""quantity"":1,""sku_code"":""801V105001_VELVET NOIR_S"",""commission_group_code"":""DEFAULT"",""category"":""""}]","","DEFAULT:177.31","returning","3.01","0.00"
"2083957644","632550","827.54","49.65","2026-04-01 10:54:00","1","2026-04-29 19:15:00","#15760","Sale","Refermate LLC","http://www.refermate.com",,"","2026-04-01 10:43:00","W15RH3VSVJ8","11","No",,,,,"0.0.0.0","0xcbxozwebx4828985x862a2c490b5745f7","iPhone","PC Unknown","https://refermate.com/","RETURNING:827.54","United States of America","1: US","no","11352359",,,,"0.00",,"-7693574460752814637",,"[{""product_id"":""6930532401349"",""product_name"":""Preston Coated Noir"",""unit_price"":193.80,""quantity"":1,""sku_code"":""3015C91001_COATED NOIR_33"",""commission_group_code"":""DEFAULT"",""category"":""Slim""},{""product_id"":""8594891473146"",""product_name"":""Package Protetion  Valid in US."",""unit_price"":8.48,""quantity"":1,""sku_code"":""x-redo"",""commission_group_code"":""DEFAULT"",""category"":""return,package_protection""},{""product_id"":""8938624483578"",""product_name"":""Cooper Coated Noir"",""unit_price"":236.30,""quantity"":1,""sku_code"":""810C75001_COATED NOIR_L"",""commission_group_code"":""DEFAULT"",""category"":""Shirt""},{""product_id"":""9010346328314"",""product_name"":""Noah Butter Suede Noir"",""unit_price"":135.66,""quantity"":1,""sku_code"":""3012S105001_SUEDE NOIR_M"",""commission_group_code"":""DEFAULT"",""category"":""Skinny""},{""product_id"":""9010346918138"",""product_name"":""Dean Butter Suede Noir"",""unit_price"":253.30,""quantity"":1,""sku_code"":""909S105001_SUEDE NOIR_L"",""commission_group_code"":""DEFAULT"",""category"":""Trucker Jacket""}]","","DEFAULT:827.54","returning","14.07","0.00"
