Day,"Campaign name","Ad set name","Ad name","Page name",Ads,Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
2024-12-29,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,8,8,1,"7-day click or 1-day view","Post engagements",1,0.07,0.07,2023-03-20,Ongoing,2024-12-29,2024-12-29
2024-12-29,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,187,190,1.01604278,"7-day click or 1-day view","Post engagements",47,2.39,0.05085106,2023-03-20,Ongoing,2024-12-29,2024-12-29
2024-12-29,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,30,31,1.03333333,"7-day click or 1-day view","Post engagements",3,0.25,0.08333333,2023-03-20,Ongoing,2024-12-29,2024-12-29
2024-12-29,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,14,14,1,"7-day click or 1-day view","Post engagements",3,0.14,0.04666667,2023-03-20,Ongoing,2024-12-29,2024-12-29
2024-12-29,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,26,26,1,"7-day click or 1-day view","Post engagements",4,0.24,0.06,2023-03-20,Ongoing,2024-12-29,2024-12-29
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,25-34,archived,ad,135,136,1.00740741,"7-day click or 1-day view","Post engagements",29,1.99,0.06862069,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,25-34,archived,ad,270,279,1.03333333,"7-day click or 1-day view","Post engagements",46,3.35,0.07282609,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,18-24,archived,ad,169,172,1.01775148,"7-day click or 1-day view","Post engagements",34,2.12,0.06235294,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,male,35-44,archived,ad,16,16,1,"7-day click or 1-day view","Post engagements",5,0.2,0.04,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,18-24,archived,ad,144,146,1.01388889,"7-day click or 1-day view","Post engagements",34,1.87,0.055,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,25-34,archived,ad,9,9,1,"7-day click or 1-day view",,,0.08,,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,unknown,18-24,archived,ad,4,4,1,"7-day click or 1-day view",,,0.05,,2023-03-20,Ongoing,2024-12-28,2024-12-28
2024-12-28,"CONTENT BOOSTING","Boosted Post Followers",12.23.2024,MONFRÈRE,12.23.2024,female,35-44,archived,ad,8,8,1,"7-day click or 1-day view","Post engagements",1,0.13,0.13,2023-03-20,Ongoing,2024-12-28,2024-12-28
